id,x_chest,y_chest,z_chest,x_ankle,y_ankle,z_ankle,position
alessandra,-234,-11,-88,50,36,259,8
alessandra,-235,-9,-84,50,37,260,8
alessandra,-236,-11,-81,51,37,260,8
alessandra,-236,-7,-83,33,40,262,8
alessandra,-232,-8,-88,-1,18,265,8
alessandra,-238,-8,-75,8,34,267,8
alessandra,-234,-14,-83,25,23,268,8
alessandra,-235,-14,-82,10,28,266,8
alessandra,-238,-14,-76,7,51,262,8
alessandra,-249,-23,-19,10,35,264,8
alessandra,-244,-18,-57,5,48,263,8
alessandra,-243,-19,-57,5,48,264,8
alessandra,-244,-42,-36,9,57,260,8
alessandra,-243,-39,-46,13,50,262,8
alessandra,-244,-35,-44,12,50,262,8
alessandra,-244,-36,-48,12,50,262,8
alessandra,-245,-34,-38,12,50,262,8
alessandra,-244,-35,-45,12,50,262,8
alessandra,-244,-27,-46,12,51,262,8
alessandra,-243,-31,-52,12,51,262,8
alessandra,-243,-30,-51,12,51,262,8
alessandra,-243,-31,-54,12,51,261,8
alessandra,-244,-29,-49,11,51,262,8
alessandra,-243,-31,-54,12,51,262,8
alessandra,-244,-29,-50,11,51,262,8
alessandra,-242,-30,-55,12,51,262,8
alessandra,-243,-30,-53,12,51,262,8
alessandra,-243,-30,-52,11,51,262,8
alessandra,-242,-31,-54,11,51,262,8
alessandra,-243,-30,-51,11,51,262,8
alessandra,-243,-30,-52,11,51,262,8
alessandra,-243,-30,-52,11,51,262,8
alessandra,-243,-30,-52,11,51,262,8
alessandra,-243,-30,-51,11,51,262,8
alessandra,-243,-30,-51,11,51,262,8
alessandra,-243,-30,-54,11,51,262,8
alessandra,-244,-30,-49,11,52,262,8
alessandra,-242,-30,-55,11,51,262,8
alessandra,-244,-29,-48,11,52,262,8
alessandra,-243,-30,-53,11,51,262,8
alessandra,-243,-30,-50,12,51,262,8
alessandra,-242,-30,-53,11,51,262,8
alessandra,-243,-29,-52,11,51,262,8
alessandra,-242,-30,-55,11,51,262,8
alessandra,-243,-29,-51,11,51,262,8
alessandra,-243,-30,-52,11,51,262,8
alessandra,-242,-30,-54,11,51,261,8
alessandra,-243,-30,-50,12,51,261,8
alessandra,-243,-30,-54,11,51,261,8
alessandra,-243,-29,-52,11,51,262,8
alessandra,-242,-30,-55,11,51,261,8
alessandra,-243,-29,-50,11,51,262,8
alessandra,-242,-30,-55,11,52,262,8
alessandra,-244,-29,-51,11,51,262,8
alessandra,-243,-30,-55,11,51,262,8
alessandra,-243,-29,-52,11,52,262,8
alessandra,-243,-30,-53,11,52,262,8
alessandra,-242,-29,-54,11,52,262,8
alessandra,-242,-29,-55,11,52,262,9
alessandra,-243,-30,-55,11,52,262,9
alessandra,-243,-18,-60,11,52,262,9
alessandra,-230,-7,-94,-9,10,275,9
alessandra,-241,-1,-70,3,17,267,9
alessandra,-235,-7,-75,2,29,266,9
alessandra,-247,-24,33,15,38,261,9
alessandra,-248,-19,-22,-5,65,257,9
alessandra,-247,-16,-33,-6,61,259,9
alessandra,-245,-20,-30,-20,66,257,9
alessandra,-248,-36,15,10,33,265,9
alessandra,-243,-57,28,26,41,264,9
alessandra,-242,-61,21,35,32,262,9
alessandra,-239,-70,23,36,32,262,9
alessandra,-239,-72,24,36,33,263,9
alessandra,-239,-72,23,35,33,262,9
alessandra,-240,-66,30,35,33,263,9
alessandra,-240,-70,22,36,33,262,9
alessandra,-240,-64,32,35,33,262,9
alessandra,-240,-69,24,36,33,263,9
alessandra,-241,-69,21,36,33,262,9
alessandra,-242,-62,30,35,33,262,9
alessandra,-242,-65,23,35,33,263,9
alessandra,-242,-63,26,35,33,262,9
alessandra,-240,-68,20,35,33,262,9
alessandra,-241,-64,26,35,33,263,9
alessandra,-241,-67,19,36,33,262,9
alessandra,-242,-63,27,35,33,263,9
alessandra,-241,-66,20,36,33,262,9
alessandra,-242,-62,21,35,33,262,9
alessandra,-242,-63,20,35,33,263,9
alessandra,-242,-62,20,35,32,262,9
alessandra,-242,-64,15,35,33,263,9
alessandra,-243,-61,20,35,32,262,9
alessandra,-242,-64,15,35,33,262,9
alessandra,-242,-61,20,35,32,263,9
alessandra,-242,-65,15,35,33,262,9
alessandra,-242,-61,22,35,32,262,9
alessandra,-241,-65,18,35,33,263,9
alessandra,-242,-62,24,35,33,262,9
alessandra,-242,-65,18,35,33,262,9
alessandra,-242,-64,16,35,33,263,9
alessandra,-242,-62,21,35,33,262,9
alessandra,-242,-64,16,35,32,263,9
alessandra,-241,-65,16,35,33,263,9
alessandra,-242,-62,22,35,32,263,9
alessandra,-241,-65,17,35,33,262,9
alessandra,-242,-62,22,35,32,262,9
alessandra,-242,-64,15,35,33,263,9
alessandra,-242,-62,21,35,32,263,9
alessandra,-242,-65,14,36,33,262,9
alessandra,-242,-63,20,35,32,262,9
alessandra,-242,-65,17,35,32,262,9
alessandra,-242,-63,19,35,32,263,9
alessandra,-242,-64,17,35,32,262,9
alessandra,-242,-64,17,35,32,262,9
alessandra,-242,-63,20,35,32,263,9
alessandra,-242,-65,14,35,32,262,9
alessandra,-242,-65,15,35,32,262,9
alessandra,-242,-64,15,35,32,263,10
